&image(ToY_ロゴ_231125.jpg,x=320)

#slide_img(auto=3,width=320,height=180){ToY_店内_231206.jpg,Toy_店内_1.png,Toy_店内_2.png,Toy_店内_4.png}

#table_style(hover=#ffffff:#fde876)
|BGCOLOR(#fde876):|>|>|BGCOLOR(#ffffff):|BGCOLOR(#fde876):|
|BGCOLOR(#ffffff):|MIDDLE:CENTER:店名|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER:&icon_fa(fa fa-school)|&space()&space()&ruby(トイ){ToY}|BGCOLOR(#ffffff):|
|~|MIDDLE:CENTER:業種|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-graduation-cap)|&space()&space()飲食店：食堂&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:開業日|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa-solid fa-calendar-plus)|&space()&space()2023年 11月27日&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:所在地|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-map-location-dot)|&space()&space()7183番地|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:オーナー|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-black-tie)|&space()&space()[[鳥野　ぎん]]&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:店長|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-user fa-fw)|&space()&space()[[ナイチン　ガール]]&space()&space()|BGCOLOR(#9370db):~|
|BGCOLOR(#fde876):|>|>|BGCOLOR(#ffffff):|BGCOLOR(#fde876):|

#region(目次を開く,open)目次
#contents(fromhere=true,level=2)
#endregion
**&font(25px,#FDCFDA){&icon_fa(fas fa-edit)} 基本情報
-学校給食をコンセプトとした食堂で、[[ロスサントス救急救命隊]]の隊員により運営されている。
--給食がメインだが学校や学生に関する商品も取り扱う。救急隊グッズも検討されている。
--漢字テストや実力テストなど、学校っぽさのあるイベントを不定期で開催する。
-店舗名の"ToY"は"Taste of Youth"の略称で"青春の味"という意味。
-居抜き物件の為か、店の看板には「pearls n tea」「珍珠和茶」の文字とタピオカティーの絵が描かれている。
--就職面接の際、「珍珠和茶」の読み方を聞くことが通例になっている。
-支払い方法は従来の請求書の他、店員がレジスターを打つことによりレジスターからの支払いも可能。なお、レジスターの売上は店舗に全額入る。
--店舗用の宿直室を導入することを経営の一つの目標としているため、お店にお金が入るよう基本的にレジスターを使用することとした。
-店内BGMは[[フランシスコ　マグナム]]が制作した”もぐもぐ オルゴールバージョン”。
-1時間に1度チャイムが鳴る。(TVにメニュー表示中)
-11/29から"おかわりジャンケン"サービス開始。注文したグループ内でジャンケンをして勝った1名が給食10個無料でおかわりできるというもの。
-2023年12月6日の公務員の忘年会はここで行った。（なか卯ヘイスト）
-2024年10月27日開催の『みんな寄っTOYで！ピルボックス学園祭』のパブリックビューイングが店舗内にて行われた。

【　追記･編集 歓迎です。 】
**&font(25px,#93c9ff){&icon_fa(fas fa-users)} 従業員情報
***従業員
#region(Season1,open)&font(#444444,b){Season1}
#table_style(head=center:#E0E0E0)
|~役職|~名前|~制服テーマ|~就職日|~備考|h
|&b(){店長}|[[ナイチン　ガール]]|給食のおばちゃん|2023/10/20|ToYの発起人。お客さんの退店時には「お残しは&br()許しまへんで〜」の決まり文句で送り出してくれる。|
|&b(){オーナー}|[[鳥野　ぎん]]|用務員・ウザめの数学教師|2023/10/20|開業の共同出資者|
|店員|[[ももみ>ももみ　マルフォイ]]|授業参観にきた母&br()原付で通勤する学生|2023/10/20||
|店員|[[加賀　イズミ]]|生徒|2023/10/20|メニュー開発・チラシ等のイラスト担当|
|店員|[[命田　守]]|体育教師|2023/10/20||
|店員|[[箱根　しおん]]|用務員|2023/10/20||
|店員|[[ヘスティア　ゴデス]]|生徒|2023/10/20||
|店員|[[葉風邪　ナイ]]|生徒|2023/11/27|臨時バイトで時々お手伝いにくる|
|店員|[[吉田　ユッカ]]|理科教師|2023/11/27||
|店員|[[雷堂　ましろ]]|国語教師|2023/11/27|"熱々"を日本の東海地方の方言で言うことを勧めている|
|店員|[[天羽　よつは]]|保健室の先生|2023/11/27|ToYオリジナル企画のテストを主催している|
|店員|[[赤兎　がみとも]]|校庭の隅で飼っている兎|2023/11/29|公務員兼務のため一時休職中|
|店員|[[神崎　治]]|窓辺で外見ながら音楽聞いてる奴|2023/11/30|面接で問われる「珍珠和茶」の読み方で唯一のガチ正答者|
|店員|[[伊藤　カテジ]]|通学路おじさん|2023/12/01||
|店員|[[橘　かげまる]]|道徳・倫理教師|2023/12/07||
|店員|[[朱雀　愛未]]|同期生徒|2024/04/03||
|店員|[[元難波　登]]|同期生徒|2024/04/03||
|店員|[[サンクチュアリ　たえこ]]||2024/06/28||
//|店員|[[フランシスコ　マグナム]]||2023/12/XX||
//|店員|[[ノビー　ラング]]|ヤンキー|2024/02/XX||
#table_autoincrement()
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
#endregion
//ボスメニューの従業員リストに載っている人を記載（兼業で一時的に抜けてる人も含む）。
//就職日はボスメニューでの雇用日としています。
//日付は29時(am5時)更新として記述しています。
//従業員の変更があれば「参加者一覧」への反映もお願いします
//

***退職者
#region(一覧)閉じる
#table_style(head=center:#E0E0E0)
|~名前|~就職日|~最終出勤日|~備考|h
|[[タシロ　カワセ]]|2023/12/04|2024/02/09|元々の志望である個人医になるため救急隊を退職|
#table_autoincrement()
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
//
//***職業体験者
//#table_style(head=center:#E0E0E0)
//|~名前|~体験開始日|~備考|h
//|[[名　前]]|yyyy/mm/dd||
//#table_autoincrement()
//#table_sorter{even=#F7F7F7,odd=#FFFFFF}
//
#endregion
//

【　追記･編集 歓迎です。 】
**&font(25px,#FDCFDA){&icon_fa(fa-solid fa-box-tissue)} 商品情報
***&u(){&font(18px,#FDCFDA){&icon_fa(fa fa-square)}&space()商品リスト}
- 白市民パスを持っていると安くなる。
#region(Season1)&font(#444444,b){Season1}
#table_style(head=center:#E0E0E0){#=center,種類=center,価格=right,登録者=center,登録日=center,提供開始日=center,備考=12px}
#table_filter(){#=hide,種類=show,価格=show,登録者=hide,登録日=hide,提供開始日=hide,備考=show}
|~#|~種類|~商品名と商品説明|~価格|~登録者|~登録日|~提供開始日|~備考|h
|33|Food|&b(){なかよしはんぶんこアイス～夢と希望の味～（レモン）}（NH-ice YUMEtoKIBOU）&br()&size(11){なかよしはんぶんこアイス～夢と希望の味～（レモン）}|50000円|[[加賀　イズミ]]|2024/09/03|2024/09/03|初回は「ロスサントス花火大会2024」販売。|
|34|Food|&b(){なかよしはんぶんこアイス～汗と涙の青春の味～（ソーダ）}（NH-Ice ASEtoNAMIDA）&br()&size(11){なかよしはんぶんこアイス～汗と涙の青春の味～（ソーダ）}|50000円|[[加賀　イズミ]]|2024/09/03|2024/09/03|初回は「ロスサントス花火大会2024」販売。|
|35|Food|&b(){なかよしはんぶんこアイス～初恋の味～（ピーチ）}（NH-Ice HATSUKOI）&br()&size(11){なかよしはんぶんこアイス～初恋の味～（ピーチ）}|50000円|[[加賀　イズミ]]|2024/09/03|2024/09/03|初回は「ロスサントス花火大会2024」販売。|
|36|Food|&b(){ゴデスバット}&br()&size(11){「ゴデスバット」チョコの駄菓子}|50000円|[[加賀　イズミ]]|2024/09/11|2024/09/11|ヘスティア　ゴデスの誕生日で作られた。|
|37|Food|&b(){ももみのぷんぷん糊}&br()&size(11){ももみのぷんぷん糊}|50000円|[[加賀　イズミ]]|2024年内|2024/09/11|ももみ|
|38|ガチャ|&b(){チンロルガチャ}&br()&size(11){チンロルガチャ}|100000円|[[加賀　イズミ]]|2024/11/26|2024/11/26|[[救急救命隊>>ロスサントス救急救命隊]]の「ナイチン・ももみ・ヘスティア・イズミ・葉風邪・命田・かげまる・カテジ・鳥野・ましろ・マグナム・ヒーロー（吉田ユッカ）・しおん・がみとも」が入っており、階級とのレア度でランダムで当たる。|
|39|Food|&b(){ToYのクリスマスケーキ(クリーム)}&br()&size(11){クリスマスに出る給食のケーキって特別ですよね！カテジサンタとましろトナカイの砂糖菓子が乗った。美味しくてかわいい箱入りの生クリームケーキです。}|50000円|[[ももみ>ももみ　マルフォイ]]|2024/12/19|2024/12/19|販売日クリスマスまでの限定？|
|40|Food|&b(){ToYのクリスマスケーキ(チョコ)}&br()&size(11){クリスマスに出る給食のケーキって特別ですよね！鳥野サンタと治トナカイの砂糖菓子が乗った。美味しくてかわいい箱入りのチョコ生クリームケーキです。}|50000円|[[ももみ>ももみ　マルフォイ]]|2024/12/19|2024/12/19|販売日クリスマスまでの限定？|
|41|Drink|&b(){ナ印のおしるこ}&br()&size(11){ロスサントスさんの小豆を使用した粒入りあったか～いおしるこです。}|50000円|[[ももみ>ももみ　マルフォイ]]|2024/12/19|2024/12/19||
|42|Drink|&b(){ナ印のコンポタ}&br()&size(11){濃厚な牧場直送ナマクリームを使ったおいしいコンポタージュです。}|50000円|[[ももみ>ももみ　マルフォイ]]|2024/12/19|2024/12/19||
|43|Food|&b(){ましろだいふく}&br()&size(11){まみずちゃんのソーダとバニラ味の大福アイス}|50000円|[[加賀　イズミ]]|2024/12/19|2024/12/19||
|44|Relax|&b(){チンロルチョコ 登}（TINROL-CHOCO NOBORU）&br()&size(11){伊豆院　登のもち入りあずき味}|100000円|[[加賀　イズミ]]|2024/12/26|2024/12/27|本人からしか買えない商品|
|45|Food|&b(){つきたてのお餅}（つきたてのおもち）&br()&size(11){そのままでもモチろん美味しいのだけれど、救急隊にいえば更に美味しくしてくれるわよ(^_-)-☆}|50000円|[[天羽　よるは]]|2025/01/08|2025/01/08|期間限定|
|46|Food|&b(){いちご大福}（いちごだいふく）&br()&size(11){}|50000円|[[天羽　よるは]]|2025/01/08|2025/01/08|期間限定|
|47|Food|&b(){きなこ餅}（きなこもち）&br()&size(11){}|50000円|[[天羽　よるは]]|2025/01/08|2025/01/08|期間限定|
|48|Food|&b(){あんこ餅}（あんこもち）&br()&size(11){}|50000円|[[天羽　よるは]]|2025/01/08|2025/01/08|期間限定|
|49|Food|&b(){海苔巻き餅}（のりまきもち）&br()&size(11){}|50000円|[[天羽　よるは]]|2025/01/08|2025/01/08|期間限定|
|50|Drink|&b(){こどもビール}（こどもビール）&br()&size(11){}|50000円|[[天羽　よるは]]|2025/01/08|2025/01/08|期間限定|
|51|Drink|&b(){甘酒}（あまざけ）&br()&size(11){}|50000円|[[天羽　よるは]]|2025/01/08|2025/01/08|期間限定|
|52|Food|&b(){あの子の本命チョコ（リボンブルー）}（あのこのほんめいちょこ）&br()&size(11){あの子の手作りチョコ}|100000円|[[鳥野　ぎん]]|2025/02/13|2025/02/14|期間限定|
|53|Food|&b(){あの子の本命チョコ（リボンピンク）}（あのこのほんめいちょこ）&br()&size(11){あの子の手作りチョコ}|100000円|[[鳥野　ぎん]]|2025/02/13|2025/02/13|期間限定|
|54|Food|&b(){あの子の本命チョコ（リボンイエロー）}（あのこのほんめいちょこ）&br()&size(11){あの子の手作りチョコ}|100000円|[[鳥野　ぎん]]|2025/02/13|2025/02/13|期間限定|
|55|Food|&b(){あの子の友チョコ}（あのこのともちょこ）&br()&size(11){あの子の智チョコ}|10000円|[[鳥野　ぎん]]|2025/02/13|2025/02/13|期間限定|
|56|Food|&b(){あの子の義理チョコ}（あのこのぎりちょこ）&br()&size(11){あくまで義理チョコ}|50000円|[[鳥野　ぎん]]|2025/02/13|2025/02/13|期間限定|
|57|Food|&b(){もぐもぐももみチョコ}&br()&size(11){ももみのかおしたかわちいいちごのあじちょこだよ！}|50000円|[[ももみ>ももみ　マルフォイ]]|2025/02/13|2025/02/13|期間限定|
|58|Food|&b(){もぐもぐうさぎさんチョコ}&br()&size(11){うさぎさんのかおしたかわちいぷりんちょこのあじちょこだよ！}|50000円|[[ももみ>ももみ　マルフォイ]]|2025/02/13|2025/02/13|期間限定|
|59|Food|&b(){ましろのまみずちゃんチョコ}&br()&size(11){ましろのまみずちゃんのかおしたかわちいいちごのあじちょこだよ！}|50000円|[[ももみ>ももみ　マルフォイ]]|2025/02/13|2025/02/13|期間限定|
|60|Food|&b(){とりのちりちりちゃんちょこ}&br()&size(11){鳥野のかおしたかわちいぷりんちょこのあじちょこだよ！}|50000円|[[ももみ>ももみ　マルフォイ]]|2025/02/14|2025/02/14|期間限定|
|61|Food|&b(){うさぎさんお弁当}&br()&size(11){うさぎさんお弁当}|100000円|[[ももみ>ももみ　マルフォイ]]|2025/06/25|2025/06/25||
|62|Food|&b(){くまさんお弁当}&br()&size(11){くまさんお弁当}|100000円|[[ももみ>ももみ　マルフォイ]]|2025/06/25|2025/06/25||
|63|Food|&b(){天羽よつはお弁当}&br()&size(11){天羽よつはお弁当}|100000円|[[ももみ>ももみ　マルフォイ]]|2025/06/25|2025/06/25||
|64|Food|&b(){鳥野ぎんお弁当}&br()&size(11){鳥野ぎんお弁当}|100000円|[[ももみ>ももみ　マルフォイ]]|2025/06/25|2025/06/25||
|65|Food|&b(){熱々じゃないやかん麦茶}（YakanMugitya）&br()&size(11){熱々じゃないやかん麦茶}|50000円|[[加賀　イズミ]]|2025/07/13|2025/07/13|❤キンキンに冷えてるので頭痛にこ注意ください！|
|66|Food|&b(){ストドリ}（SutoDori）&br()&size(11){ストドリ}|50000円|[[加賀　イズミ]]|2025/07/13|2025/07/13|ストイズドリンク&br()（ToYのスクイズボトルに入ったスポーツドリンク。）|
|67|Food|&b(){命田守お弁当}&br()&size(11){命田守お弁当}|100000円|[[ももみ>ももみ　マルフォイ]]|2025/07/17|2025/07/17||
|68|Food|&b(){赤兎がみともお弁当}&br()&size(11){赤兎がみともお弁当}|100000円|[[ももみ>ももみ　マルフォイ]]|2025/08/xx|2025/09/xx||
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
#endregion(商品リスト)
//日付は29時(am5時)更新として記述しています。
//
***&u(){&font(18px,#fde876){&icon_fa(fa fa-square)}&space()メニュー表}
#region(23/11/27 メニュー)&b(){23/11/27 メニュー}
&blankimg(メニュー_23-11-27.webp,x=480,y=270)
#endregion
//#region(23/11/29 メニュー（おかわりジャンケン記載）)&b(){23/11/29 メニュー（おかわりジャンケン記載）}
//#endregion
#region(23/12/01 メニュー（ポッカポカイロ追加）)&b(){23/12/01 メニュー（ポッカポカイロ追加）}
&blankimg(メニュー_23-12-01.webp,x=480,y=270)
#endregion
#region(23/12/04 メニュー（ABCスープ･冷凍みかん追加）)&b(){23/12/04 メニュー（ABCスープ･冷凍みかん追加）}
&blankimg(メニュー_23-12-04.webp,x=480,y=270)

#endregion
#region(23/12/27 メニュー（焼きそばパン・サイエンスクリームソーダ・授業で作ったべっこう飴追加）)&b(){23/12/27 メニュー（焼きそばパン・サイエンスクリームソーダ・授業で作ったべっこう飴追加）}
