***&color(#4682B4){&icon_fa(fa-solid fa-dice)}&space()&bold(){当選者、車両一覧、参加人数、一般販売時期}
過去の抽選会で出品された車両と当選者は下表のとおりです
#region(開く)閉じる
#table_style(head=center:#E0E0E0){開催回=center,価格=right,参加者数=right}
|~開催回|~開催日|~車両名|~車両ID|~価格|~当選者|~参加者数|~販売時期|h
|第51回|2025/08/14|Dinka Nexus|RBT00076|200,000,000円|[[豆　やん]]|9人||
|第51回|2025/08/14|Dinka Nexus|RBT00077|200,000,000円|[[ねずみさん>>えぐち　きの子]]|6人||
|第52回|2025/08/21|Annis RH5 sedan|RBTRADE1|300,000,000円|[[ジェフリー　ヒッチコック]]|40人||
|第52回|2025/08/21|Annis RH5 sedan|RBTRADE2|300,000,000円|[[山本　寅子]]|21人||
|第52回|2025/08/21|Annis RH5 sedan|RBT00080|300,000,000円|[[猫又　ぴぴ]]|4人||
|第53回|2025/08/28|Comet S2 CTX C4 Pfister|RBT00081|400,000,000円|[[三島　みつー]]|17人||
|第53回|2025/08/28|Comet S2 CTX C4 Pfister|RBT00082|400,000,000円|[[大　川]]|7人||
|第54回|2025/09/04|Vapid Scout XL|RBT00083|150,000,000円|[[葛城　司]]|9人||
|第54回|2025/09/04|Vapid Scout XL|RBT00084|150,000,000円|[[千代田　ヨウ]]|7人||
|第55回|2025/09/11|Declasse Vorschlaghammer|RBT00085|70,000,000円|[[町田　ジョアンナ]]|5人||
|第55回|2025/09/11|Declasse Vorschlaghammer|RBT00086|70,000,000円|[[ミカ・ピトフーイ]]|9人||
|第56回|2025/09/18|Bravado Banshee 1100R|RBT00087|300,000,000円|[[万十　忍]]|12人||
|第56回|2025/09/18|Bravado Banshee 1100R|RBT00088|300,000,000円|[[美々梨田　ちょりぴ]]|16人||
|第57回|2025/09/25|LCC StarFighter|RBT00089|100,000,000円|||開催されなかった|
|第57回|2025/09/25|LCC StarFighter|RBT00090|100,000,000円|||開催されなかった|
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
#table_autoincrement(){label=No.}

※当日取り出せなかった車両については、車両IDを新規採番して渡している
　該当車両の扱いについては、市長補佐へ返却、または、別の抽選会で使用予定としている
　【該当車両】
　　Mil-Spec Patriot Military (RBT00016)
　　Grotti Consanguinea（RBT00058、RBT00059）
//　　Pegassi Toros CTX（RBT00064、RBT00065）→2025/07/17返却
　　Annis RH5 sedan（RBT00078、RBT00079）→RBTRADE1、RBTRADE2を当選者へ引き渡し、後日交換対応可能としている
#endregion(開く)

//|第xx回|2025/xx/xx|車名|RBT000xx|値段|当選者|参加人数|一般販売時期|
//
//RBT00016の車両名を修正しました。2024/11/21（11/22 02:35）ケインオー視点確認。2024/12/12の抽選会がケインお休みのため取り出せず、補佐がKANA1212で販売しています。スドバのガレージに未だに入れっぱなしだったかと。
