#region(2025年)
&bgcolor(#ffffff){&bold(){&big(){2025年}}}
#table_filter(){日付=show,出来事=show,切り抜き=hide,関係者=hide,備考=show}
#table_style(head=center)
|BGCOLOR(#FF681F):~&color(#ffffff){日付}|BGCOLOR(#FF681F):~&color(#ffffff){出来事}|BGCOLOR(#FF681F):~&color(#ffffff){切り抜き}|BGCOLOR(#FF681F):~&color(#ffffff){関係者}|BGCOLOR(#FF681F):~&color(#ffffff){備考}|h
|~3月8日|~[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]体験開始|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/uh-6bwSVwkU?si=yEzg50KipiyXWutr]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch①}>>https://youtu.be/Ti_pV0k3Jck?si=CtFklqMPApICe_LY]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch②}>>https://youtu.be/V6DjtI5cfFQ?si=UBOJgtsa8Krvv1H7]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/HBNexRRBXps?si=IJVQ-MhkuVaREjIi]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/5x2W9XGO8Cc?si=6GahiOPMiNiwSadz]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch}>>https://youtu.be/_W9tN2KlP5o?si=DpgdlkrXNkO4exAl]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/0GT3g_3k_uc?si=NcxaNfIfUG8jcIka]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かんせるch①}>>https://youtu.be/JYj9Da7YPrE?si=iIWfDGdp9QVj1vBd]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かんせるch②}>>https://youtu.be/PFPNOYla1Ac?si=JAU_I7GLVv45qJQB]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かんせるch③}>>https://youtu.be/rp4dS5TyMlc?si=qlARsW7w42ejcfy-]]|~[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]|新たにシャンプロでボイス事業担当として働いていたヤバッキオが体験に。|
|~3月19日|~大型犯罪に関するギャング会議|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/6C4rzrxCnPQ?si=Cf0RUzzjKw1FW8XI]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/RIwPQu9OJfc?si=bB3aGulTLJyJyRUj]]|~[[MOZU]]&br()[[GBC>>GoodbyeCircus]]&br()[[anbrella>>anbrella(餡ブレラ)]]&br()[[ALLIN]]&br()[[NO LIMIT]]&br()[[麻陀羅組]]&br()[[868]]&br()[[hantasma]]&br()[[Trickster]]&br()[[第4宇宙速度]]|市長が変わり大型犯罪に関することが大幅に変更。それに関して全ギャングが集まり会議を行った。|
|~3月23日|~[[ヨシャパテ>>アイドゥラー　ヨシャパテ]]体験開始|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/eFtOe2IYt0Y?si=nuxKFgWnkcijQqMN]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/e0lOlx9Equg?si=-_UnLzpgTx4c5zVi]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/YtDfl0B37bQ?si=WHra9YtQftdC82ax]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/xfZ3kBS58P4?si=leCB6mqjCmAdMPSN]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){なつめ先生ch}>>https://youtu.be/lOmjJDyjL1s?si=PtpfzxvZuoGbigfM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/p_z0B4MKt34?si=YPbrvAocdZVRW2k5]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かんせるch}>>https://youtu.be/aKE_wU_wwrM?si=Nr9YTvo1A2wJnt5g]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch①}>>https://youtu.be/GlPL970sna0?si=JoO4qtEoC8IhbG61]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch②}>>https://youtu.be/X2I1y2_QXRk?si=mDJZ18q13EJ84D_4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch③}>>https://youtu.be/93S55qbou88?si=HJfq9jLEt1yIjfgh]]|~[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]|打倒[[MOZU]]を掲げて加入を志願。手土産に[[MOZU]]の元武器庫物件を持ってきた。&br()さらに鍵を剥奪されていなかった&openclose2(show=物資総合倉庫){(※現在は[[だよ>>堕夜　だよ]]が個人利用している可能性があるがヨシャパテもカイキもそのことは知らない)}に空き巣に入り、約6億円相当の物資を強奪。その後ノーリミスプレーを入口に大量に噴き、アピールも行った。|
|~4月1日|~[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]仮採用決定|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/7ILiZLq5oKM?si=PTN3vY-iauVuWbla]]|~[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]|3週間の体験の末仮採用決定。|
|~4月6日|~[[ヨシャパテ>>アイドゥラー　ヨシャパテ]]仮採用決定|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/O5fMQweVnDY?si=UAb99aaJfF1vf81W]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/STdDhOn5Ox0?si=hODfmTJgm5BpdPPh]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/GNuZOFJiMgg?si=5rZollGv7qAmVCVK]]|~[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]|鍵渡しのついでにunionを付けた際に仮採用決定した。|
|~4月12日|~超激動 -SUPER GEKIDO- Day1|-|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[うしくん>>キラ　メキーラ]]&br()[[くまの ふでこ>>くまの　ふでこ]]&br()[[さとう・ざ・ろっく>>さとう]]&br()[[MC Sunrise>>MC　Sunrise]]&br()[[葉加邪 ナイ>>葉加邪　ナイ]]&br()[[金令木 雅之>>四皇　シャンクズ]]&br()[[わきを まさし>>キャプテン　わきを]]&br()[[佐藤 ジェフ雄>>ジェフリー　ヒッチコック]]&br()[[キャプ久保 博之>>ましゃかり　トラボルタ]]&br()[[川 中>>川　中]]&br()[[ジャック 馬ウワー>>ジャック　馬ウワー]]&br()[[二十日 ネル>>二十日　ネル]]&br()[[あやな みれい>>あやな　みれい]]&br()[[花沢 まるん>>花沢　まるん]]&br()[[鷹山 トシアキ>>鷹山　トシアキ]]|[[シャンクズプロモーション]]主催イベント『[[超激動 -SUPER GEKIDO->>https://gekido2025.shankzpromotion.com/]]』の１日目。両国国技館でシャンクズプロモーション所属アーティストのLIVE！しかし、トラブル発生でLIVE中断の危機！？|
|~4月13日|~超激動 -SUPER GEKIDO- Day2|-|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[くまの ふでこ>>くまの　ふでこ]]&br()[[さとう・ざ・ろっく>>さとう]]&br()[[MC Sunrise>>MC　Sunrise]]&br()[[金令木 雅之>>四皇　シャンクズ]]&br()[[わきを まさし>>キャプテン　わきを]]&br()[[佐藤 ジェフ雄>>ジェフリー　ヒッチコック]]&br()[[キャプ久保 博之>>ましゃかり　トラボルタ]]&br()[[鷹山 トシアキ>>鷹山　トシアキ]]&br()[[明路 笑生>>明路　笑生]]&br()[[銭形 闇一郎>>銭形　闇一郎]]&br()[[広場 うた子>>広場　うた子]]|[[シャンクズプロモーション]]主催イベント『[[超激動 -SUPER GEKIDO->>https://gekido2025.shankzpromotion.com/]]』の２日目。シャンクズプロモーションとノーリミット合同の打ち上げ！LIVEもあるよ！|
|~4月23日|~[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]正式採用|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/6DuEJ7SkALE?si=RF4mxXejKin8vq8-]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かんせるch}>>https://youtu.be/7_bIgXsfANA?si=72_5_1JhrjxRSJRS]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/hfhPu6yOeyU?si=jeZbG0EuRaeOGGio]]|~[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]|パテに先を越されたことを共有したことで正式採用となった。|
|~4月24日|~[[ヨシャパテ>>アイドゥラー　ヨシャパテ]]正式採用|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/zepIUrN-WMQ?si=Idqr5m1MaVy14oPP]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/hfhPu6yOeyU?si=uvcsQ8d6cgz8lbCP]]|~[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]|4月23日にプリズンに迎えに行った帰りにさらっと正式採用されたが、バキオを追い越していたことが判明し仮採用に降格。今回は本当に正式採用となった。|
|~|~[[餡ブレラ>>anbrella(餡ブレラ)]]に宣戦布告|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/HN-PQB4UA3A?si=ocjTRBRJYDCCVa90]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/f2llpHAUvew?si=xBJ1CK0d46EEhdBS]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch③}>>https://youtu.be/pjNxVLiqkr4?si=lv1W6lsM-EmnSy-F]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch①}>>https://youtu.be/o71a8iPKUy4?si=pGQz0BRuiKX-ItXF]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch②}>>https://youtu.be/wSt2z17wiRw?si=pNbXXiN51nirHVZB]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/D2VUaM-3cPg?si=TSIY21C76SxSfbQp]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/qmmm1lxozyI?si=dgJVXzbdecTZXcQ-]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){なつめ先生ch}>>https://youtu.be/eI-kXXzy26Y?si=2PF_sTgcgXm3uMwJ]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/g1zz9t-JeQY?si=YZ91xXZFSDLJiMaL]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch①}>>https://youtu.be/TBA658JL_Ug?si=02ALMdmFHjiWEbQA]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch②}>>https://youtu.be/JrOlQrTBNY0?si=c8OkZYxpC3yuzAjR]]|~[[餡ブレラ>>anbrella(餡ブレラ)]]|ノーリミとして初の正式な抗争。火種によるものではなく胸を借りるつもりで挑む抗争。5月17日予定。&br()「戦いたい」「失わないと強くならない」|
|~4月26日|~[[MOZU]]との抗争決定|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/vt7WE6fd_jc?si=RC1L361uYSvuT1aR]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/xqepCcVw9GA?si=fScL_4USbCXTBLqh]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/drm3LSTgmpA?si=MBy8AiCrssNs5YuF]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/m5B9kSIDM-A?si=U5_ZoZ-zb-22LXm2]]|~[[MOZU]]|テリトリーで薬が売られ通知が来たことを火種に抗争決定。5月末～6月上旬予定。|
|~5月6日|~[[餡ブレラ>>anbrella(餡ブレラ)]]抗争会議|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/kL_Nb2niV4s?si=0Oo1SFmDDJ9wR4YT]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/LQCS7LriNLg?si=LYc9FLqqf10zwZPO]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/i9oahrn534g?si=k1d1r5uknetQQ7nL]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/OtZRYuunTpo?si=-IRY5VFtvRziJ4ce]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/_Ouy6ktpt1g?si=0985eU6VKMkXskmA]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/UAkOF2nid3Y?si=ZZPGheS1w9NACtni]]|~[[餡ブレラ>>anbrella(餡ブレラ)]]|来たる抗争に向けてルールや内容を話し合った。|
|~5月9日|~[[飯田 けんつ>>飯田　けんつ]]仮採用決定|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/gv8KGuWFygY?si=16c1G6EAHI2xYEbP]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/KzmGsRfEy0A?si=dmeUXp9X1ovaaiok]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/9lUPW6xRZjY?si=U2H9hEKZYAoFDUsi]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/W5OwPA4pdKg?si=Zq7MY44-n20HKAxW]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch}>>https://youtu.be/6wbHwjUjUIM?si=Y6hDjNx_yBVSEy4D]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch}>>https://youtu.be/k3ACYqz7iRU?si=OaY9ZdbKi2PA0GOM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch①}>>https://youtu.be/OChbl_SstvQ?si=6I-dPBs2tCXAuNxb]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch②}>>https://youtu.be/N8QGiIsY5SQ?si=1T8hBPB5KZZlDS0N]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch③}>>https://youtu.be/y1Q1ipS0PPg?si=i1WH_7j1MwE3B6qf]]|~[[飯田 けんつ>>飯田　けんつ]]|イカれを飼いならしているシャンクズが光って見えたため加入志願。&br()えんじから&openclose2(show=まちょゾディア){誕プレのお守り}を５つ集めることができ[[神皇 シャンクズ>>四皇　シャンクズ]]の試練を受け合格したため仮採用決定。|
|~5月17日|~[[餡ブレラ>>anbrella(餡ブレラ)]]抗争|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/4hd1p0rLj9o?si=D9sUsnyzbgwjRsaa]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/TzbLBRZ6AVc?si=rkga9rzQYNYE5nDU]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/yByFG-G5biA?si=cCB-ds_pVShx_-Kq]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/5AHItU1o1FE?si=eVf56YxNpLrV0lDI]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/TjniznYOoIo?si=uv-PcZ0uLPuG7PmX]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch}>>https://youtu.be/zLQEpUr9zek?si=Unq_AKVi5fncs2tE]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch}>>https://youtu.be/_UlQzNxmsBA?si=2XnBxzCpBPUb0sg5]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch①}>>https://youtu.be/rB2Lx9GpGZY?si=Ymgox2WHsdP4G8x9]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch②}>>https://youtu.be/jKObWR0uqys?si=HhTEMFkoRIsiL4b5]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/z6nwm26T5kg?si=amQaNVxJmJ6fqZ1v]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch}>>https://youtu.be/Ynjg-gbESAY?si=o5IbYUASQa6XWKof]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/1zSB0UAvlsU?si=xE0E42UWAEFhRMKL]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){よしぴch}>>https://youtu.be/G9nHVnSu9-w?si=NZII-1MsP8FqXmxT]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けんつめしch}>>https://youtu.be/Qi6NqQ8Eqhs?si=g0xNuEHZbCV_X-pT]]|~【[[NO LIMIT]]】&br()[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[なんば てって>>なんば　てって]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[冬那 ふな>>冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[蒲田 ヤバッキオ>>蒲田　ヤバッキオ]]&br()[[アイドゥラー ヨシャパテ>>アイドゥラー　ヨシャパテ]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()【[[餡ブレラ>>anbrella(餡ブレラ)]]】&br()[[アルフォート ウェスカー>>アルフォート　ウェスカー]]&br()[[栖家幡 華憐>>栖家幡　華憐]]&br()[[ハンク>>アーモンド　サラザール]]&br()[[アイスボックス博士>>アレクサンダー　アイスボックス]]&br()[[ジェイク レディントン>>ジェイク　レディントン]]&br()[[キャプテン わきを>>キャプテン　わきを]]&br()[[九頭峰 誠士郎>>九頭峰　誠士郎]]&br()[[クマゴリ>>クマ　ゴリラ]]&br()[[ニャンコ・スキー>>ニャンコ・スキー]]&br()[[聖母 れりあ>>聖母　れりあ]]&br()[[七瀬 ぜろ>>七瀬　ぜろ]]&br()[[伊達咲 政宗>>伊達咲　政宗]]&br()[[西蓮寺 華月>>西蓮寺　華月]]&br()[[魔王>>アルベール]]&br()[[酒槻 すん>>酒槻　すん]]&br()[[チャルロス SAY!>>チャルロス　SAY!]]&br()[[稲葉 ゴン>>稲葉　ゴン]]&br()[[宿無 おきる>>宿無　おきる]]&br()[[あいまいみー]]&br()[[オザワ ハヤマサ>>オザワ　ハヤマサ]]&br()[[いわさき そす>>いわさき　そす]]&br()[[羽山 パティ>>羽山　パティ]]&br()[[山田 ジェイミー>>山田　ジェイミー]]&br()[[エスターク・Z・ダークネス]]|街中全体がフィールドとなるクマちゃん抗争。満を持して親組織ともいえる[[餡ブレラ>>anbrella(餡ブレラ)]]に挑む。&br()街中での戦いは勝ち星1対1で1v1の勝ち抜き戦にて決着を決めた。|
