***&underdot(#eee,3px){&font(17,#777){&icon_fa(fa fa-circle)} 2025年}
#region(開く,open)
#region(6月)6月
#table_style(head=center:#e6e6e6:#666666){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~主な出来事|~備考|h
|07/25|28|[[28日目・ハンタスマ>>https://www.youtube.com/watch?v=IMYB5FXCBXE]]|武器購入同行/初略奪/初金持ち(ボブキャ)/4億返済||
|07/26|29|[[29日目・ハンタスマ>>https://www.youtube.com/watch?v=uvTdPBgqX1w]]|ぽこ作とろ絵/ボス夏服選手権/デス鬼ごっこ||
|07/27|30|[[30日目・ハンタスマ>>https://www.youtube.com/watch?v=BOP-9iuR-OM]]|徒歩イェッサー警察/2束初利確/飛行場実弾演習||
|07/29|31|[[31日目・ハンタスマ>>https://www.youtube.com/watch?v=JJWfb7_DSUE]]|初金庫/UNRÊVEopen/力二さんとレク||
|07/30|32|[[32日目・ハンタスマ>>https://www.youtube.com/watch?v=UIFoLQ8QhcM]]|初闇メカ/エモート研究/ボブキャ検証/ヘリ打上&UFO||
#table_sorter{even=#F7F7F7,odd=fff}
#endregion(7月)
#region(8月)8月
#table_style(head=center:#e6e6e6:#666666){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~主な出来事|~備考|h
|08/01|33|[[33日目・ハンタスマ>>https://www.youtube.com/watch?v=fgMSZSPZiac]]|ボクシング/小規模会議/家族小型&デス山の刑|ぽこボスデー|
|08/02|34|[[34日目・ハンタスマ>>https://www.youtube.com/watch?v=6fkaOSTeQ9E]]|D4共有→滅論召喚→タラちゃん来訪/初喧嘩||
|08/03|35|[[35日目・ハンタスマ→OW2>>https://www.youtube.com/watch?v=8fM0UhNIxRA]]|久々ヘルへ共有/怜と秘密結社Lv2|おかめ禁止|
|08/06|36|[[36日目・ハンタスマ>>https://www.youtube.com/watch?v=g-sFAEkuPtI]]|ジジあび結社Lv2/後ろ向き/ジジと喧嘩/即日ﾏﾀﾞﾗ抗争|おかめ禁止|
|08/07|37|[[37日目・ハンタスマ>>https://www.youtube.com/watch?v=44YNgnhNlVQ]]|初飯田書店/ボートレース/初ねぎ&初合同|おかめ禁止|
|08/10|38|[[38日目・ハンタスマ>>https://www.youtube.com/watch?v=GIzPRG-Xncc]]|初高級車窃盗/飛翔初出勤|おかめ禁止|
|08/12|39|[[39日目・ハンタスマ>>https://www.youtube.com/watch?v=O1paTrMnOw0]]|南署イベ逃走中/初リグ/謎解きレース/ちゅに交流||
|08/13|40|[[40日目・ハンタスマ>>https://www.youtube.com/watch?v=B5MqVqbisxQ]]|椅子取り/上D詐欺裁判/ジジハン喧嘩/ねぎ同行||
|08/14|41|[[41日目・ハンタスマ>>https://www.youtube.com/watch?v=M7fDOtlNpVE]]|ホテルopenライブ||
|08/15|42|[[42日目・ハンタスマ>>https://www.youtube.com/watch?v=zW5yLRAq27o]]|上田ギャングの虚空新聞を読む||
|08/16|43|[[43日目・ハンタスマ>>https://www.youtube.com/watch?v=jk6UEEHqYIE]]|シャンプロ夏フェス/ﾋﾟｰﾅｯﾂサッカー/FOWK似顔絵||
|08/17|44|[[44日目・ハンタスマ→ホラゲ>>https://www.youtube.com/watch?v=dVGmB_ApsiM]]|あびす丸客船/賭けレース||
|08/19|45|[[45日目・ハンタスマ>>https://www.youtube.com/watch?v=kfj3Cr8z7js]]|チキンレース/幸子/コンテナ罪会見/れりあとロイ||
|08/20|46|[[46日目・ハンタスマ>>https://www.youtube.com/watch?v=gDNDq4mFSUw]]|JTS空飛ぶﾊﾞｲｸ/BMC2周年レース/ハンさん捕獲ｹﾞｰﾑ||
|08/22|47|[[47日目・ハンタスマ>>https://www.youtube.com/watch?v=73A2revZ7PE]]|奇肉脱出ｹﾞｰﾑ/宇宙衣装/サバゲ大会/夏服&初ﾀﾄｩｰ||
|08/23|48|[[48日目・ハンタスマ大型超がんばった！>>https://www.youtube.com/watch?v=WDAyFkPp_Ig]]|ｺﾅﾀﾞﾊﾞﾄﾙ/ｶｼﾞﾉ王/市長面談立聞/よるリオと実弾演習||
|08/24|49|[[49日目・ハンタスマ>>https://www.youtube.com/watch?v=O-C05mEB6b0]]|MOZUから報告/合コン人狼/警察とばびょーん||
|08/26|50|[[50日目・ハンタスマ→cookieクリッカー→警察＆レースイベ>>https://www.youtube.com/watch?v=XjSO1IJj0Ps]]|SGPD祭/目隠しレース/リグゼさんと同行|途中街の不調あり|
|08/27|51|[[51日目・ハンタスマ>>https://www.youtube.com/watch?v=1HAnG9qOt-M]]|飛翔大盛況/ちゅにと3周年式典/MOZU若衆とチル|人数過多の歪みあり|
|08/28|52|[[52日目・ハンタスマ>>https://www.youtube.com/watch?v=qr40H7R1uPk]]|ﾊﾞﾅｰﾅ/ｸﾚｰﾌﾟ屋/UEDvs9055/変装朱鬼/各所でﾁﾙﾄｰｸ||
|08/29|53|[[53日目・ハンタスマ>>https://www.youtube.com/watch?v=mTN46nQC1y4]]|ﾚｷﾞｵﾝYadorigi/じぇいと結社Lv2/ﾘｻｾﾝ/9055🦄増え鬼|フェス前のチルデー|
#table_sorter{even=#F7F7F7,odd=fff}
#endregion(8月)
#region(9月)9月
#table_style(head=center:#e6e6e6:#666666){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~主な出来事|~備考|h
|09/02|54|[[54日目・ハンタスマ>>https://www.youtube.com/watch?v=lRIPdsB5AJA]]|ｶｼﾞﾉｲﾍﾞ参加費/初店舗強盗(宇宙)/456ﾎﾞｲｽ||
|09/03|55|[[55日目・ハンタスマ>>https://www.youtube.com/watch?v=BdWBqUEB-l8]]|中殲滅挑戦/ﾓｽﾞﾀｽﾏﾁｪｲｽ練習/ねぎ姿変装||
|09/04|56|[[56日目・ハンタスマ→闇鍋人狼>>https://www.youtube.com/watch?v=mp8gl40ca5M]]|定例会議||
|09/05|57|[[57日目・ハンタスマ>>https://www.youtube.com/watch?v=lCDfSspkX2U]]|ねぎ結社ウォチパ||
|09/06|58|[[58日目・ハンタスマ>>https://www.youtube.com/watch?v=Pm39vgsXYbQ]]|ここな/変装ｸｲｽﾞ/初ﾊﾟｼ&初ｱｰﾃｨ/物陰から胡將||
|09/07|59|[[59日目・ハンタスマ>>https://www.youtube.com/watch?v=41Q-2jIxd6w]]|ｺﾞﾐ収集/初ｴﾀﾞ/賭博黙示録/空き巣用変装/ﾏｯｸから黒へ話||
|09/09|60|[[60日目・ハンタスマ>>https://www.youtube.com/watch?v=wQEKRv2LU_A]]|市長会見/E5'sから説明/ヘルと飛行場演習/結社Lv2ﾓﾙｸﾞ|E5'sミッション白市民解禁|
|09/12|61|[[61日目・ハンタスマ>>https://www.youtube.com/watch?v=r9Oa3peOywY]]|結社Lv2ｸﾙｰｽﾞ/街瞑想直前ねぎ||
|09/13|62|[[62日目・ハンタスマ>>https://www.youtube.com/watch?v=j8KdiovD8Zc]]|ｱﾝﾅと飛翔/ｱｻｼﾝ衣装/FOWK占い/怠惰とLv2/ねぎとLv2||
|09/14|63|[[63日目・ハンタスマ>>https://www.youtube.com/watch?v=47JVgIB0SYg]]|新Lv1ｸｻｸｻ/リ確/かえるさん小ﾗｲﾌﾞ/ﾀｽﾏLv3Lab/E5受渡|カバー曲で自動無音処理有り|
|09/16|64|[[64日目・ハンタスマ>>https://www.youtube.com/watch?v=BseQv7qaLec]]|E5ｵｰﾊﾟｰﾂの話/ﾊﾞﾝｶｰでvsダーク/ｵｰﾊﾟｰﾂ探し/新Lv2村||
|09/17|65|[[65日目・ハンタスマ>>https://www.youtube.com/watch?v=HEeR7zYNb4I]]|ﾊﾒ&ﾄﾗと同行/クレーンやFIB謎解き/Lv2村にﾀﾞｰｸ襲来|数回街ダウン有り|
|09/18|66|[[66日目・ハンタスマ→ぷぅちゃん少し>>https://www.youtube.com/watch?v=8m8yXUJsJRA]]|初花屋/ﾊﾞﾝｶｰ攻略/ぽこの決断&Lv3中に対話||
|09/19|67|[[67日目・ハンタスマ>>https://www.youtube.com/watch?v=AXTsEDD1Zo0]]|ぽこの件共有/Dかな戦隊/リグ初中/ﾛﾚ合否/空き巣カフェ||
|09/20|68|[[68日目・ハンタスマ>>https://www.youtube.com/watch?v=Wv0xPNoHrYQ]]|水陸両用/とろかえﾘｻｲﾀﾙ/市長会見/サメ見送り||
|09/21|69|[[69日目・世界の終わり？ハンタスマ>>https://www.youtube.com/watch?v=w0hTGCocsIg]]|ゆちゃとLv2空母/Lv3lab街瞑想/初渡り通り/最終防衛||
#table_sorter{even=#F7F7F7,odd=fff}
#endregion(9月)
#endregion(2025年)
