//
//[注意！]
//誰かが記載した文章を丸々削除&記入は、編集合戦になって不毛な戦いに発展してしまうのでお控えください。
//適切ではない文章で、丸々消去する場合はコメントアウトを用いて、消さずに又はメモを残す対応をお願いします。
//
//11/14追記:がっつりエピソードなど、「人物特徴ではないもの備考欄への記載」は無駄だと判断し、消させていただきます。
//11/26追記:無駄に備考欄が長くなっている為、面白犯罪でのランキングや記載したいエピソードなどがある場合はこちらではなく、各人物のプロフィールにて記載をお願いします。
//2024/3/27 銀河一アニキについて、ランク2に昇格したと思ってらっしゃる方がいるのですが、現在はSWATのみ2を付与されています。参考URL：https://www.twitch.tv/videos/2102070301?t=03h27m13s
//以前世代名は編集相談所にて仮称は正式名称ではないので載せない方がよいにまとまっていたはずなので、世代の仮名称は非表示にしました。
//各署員のランク記載ですが、警察ランクとSWATランクに差がない限り一つにまとめて記載するのが良いかと思います。
//2024/10/28 (月) 11:52:15(非ログインユーザー)のましゃかり　トラボルタ編集、「警察としての仕事よりも自身の撮れ高を優先する一面があり～」は事実と異なる点や、配信者下げにしか見えないため削除させていただきました。同時にジャック馬ウアーの「仕事ぶりのいい加減さや～」も観測者側からの主観にしか見えないと思うので削除しています。
//2025/09/22：「役職」欄を追加し、各署の「署長、副署長、上官、副官」を記載しました。それに伴い、「役職/部署/世代」を「部署/世代」に変更しています(by akina3)
//2025/09/22：馬ウアー署長の備考欄について行数が多かったので「openclose2」を使って一部クリックで表示するようにしました。記載内容は変更しておりません(by akina3)
//
//
***&font(19,u){&color(#4169E1){|}&space()Season1&space(4)}
#region(開く)閉じる
****概要
-署員数：98人（男性：67人・女性：31人）&small(){休職中を除く}
-SWAT隊員数：91人（男性：64人・女性：28人）
// 2025/07/15更新 犬ルリ懲戒免職
// 2025/09/10時点 ブロッコリー斎藤無期限停職（人数未反映）
// 2025/07/02時点 市長・市長補佐は未カウント、警察のみ所属7人（男性：4人・女性：3人）
// 2025/09/22時点 胡將停職（人数反映済　99人→98人）
// 2025/09/22時点 文月夏苗 休職
//
****&font(19,u){&color(#4169E1){|}&space()署員一覧 &color(darkblue){&icon_fa(fa-solid fa-person-military-pointing)}}
//各署員のランク記載ですが、警察ランクとSWATランクに差がない限り一つにまとめて記載するのが良いかと思います。
#size(90%){{{#table_style(100%,head=#4169e1:#ffffff:center){SWAT入隊状況=center,本採用日=right}
#table_filter(){所属=show,役職=show,ふりがな=hide,階級=show,部署/世代=show,SWAT入隊状況=hide,本採用日=show,備考=show}
|~所属|~役職|~氏名|~ふりがな|~階級|部署/世代|~SWAT入隊状況|~本採用日|~備考|h
|本署||[[猫　マンゴー]]|ねこ　まんごー|4|モテモテクラブ&br()隠密部隊|○|'23/08/24&br()&openclose2(show=復職){&br()'23/12/04} |最強猫。圧倒的に撃ち合いが強く、状況判断能力も高い。実力は[[犬　ルリ]]と互角であり、ライバルでもあり幼馴染で親友。&br()まさに猫なので認めた人にはとことん懐く。怒らせると怖い。&br()闇堕ちした[[千代田　ヨウ]]を見かけるとボコボコにしている。(本人曰く『歪んだ愛』）&br()「&bold(){おはよう、じゃこ達～！猫マンゴー出勤だ～！}」|
|本署|本署 副官|[[安保　さぶ郎]]|あほ　さぶろう|4|[[ゆとり世代>ロスサントス警察#ゆとり世代]]&br()チャリ課 課長&br()チル課&br()ミスリ課&br()隠密部隊|○|'23/10/21|末っ子キャラ。そのため新人と思われているが出勤日数がかなり多い大ベテラン。&br()警察署内に両親としてパパ[[ミン　ドリー]]とママ[[伊藤　ぺいん]]を作っている。&br()[[職無　ニトロ]]とは同じ時期に街に来た同期であり、偶然にも職業体験がすべて一緒の腐れ縁。&br()「&bold(){おはよござまぁ?！}」|
|本署||[[深沢　えぼし]]|ふかさわ　えぼし|4&br()&small(){SWAT}1|事務|△&footnote(大型のリセットがSWATのみだったため入隊)|'22/08/31&br()&openclose2(show=復職){&br()'23/10/28}|警察→ギャング→＆メカニック→＋α警察復職という異例の経歴。黒経験者からの警察は街で2例目。&br()事務専門という契約で復職のため前線には行かない。警察初期メンのため、古参署員と仲が良い。&br()本署のカウンターに座って市民対応をしている頼りになるお姉さんポジ。|
|本署|本署 副官|[[レッサン　パンナ]]|れっさん　ぱんな|4|[[最悪の世代>ロスサントス警察#最悪の世代]]&br()チル課&br()救急隊対応課&br()ミスリ課&br()チームPons&br()隠密部隊|○|'24/02/06|最悪の世代の一人。猫、犬に続く新たなアニマルズ（なぜかアライグマ）。&br()とても明るくフレンドリーな警官で、事件現場ではヘリを担当することが多い。&br()家には出不精で170Kgある夫がいる。家にいすぎて足が腐っているので、治す薬を探している。&br()[[安倍　霊明]]は同日入隊の同期。|
|本署||[[立花　乱歩]]|たちばな　らんぽ|4|[[第2世代>ロスサントス警察#第2世代]]&br()|○|'22/10/10&br()&openclose2(show=復職){&br()'24/04/04}|第2世代の一人。2022年次に警察に所属していたが人員整理の際に除名され、'24/04/04に再び採用された。&br()[[ランポ（車）>>https://w.atwiki.jp/gtav/pages/1630.html]]と名称が一緒の為、たまに反応してしまう事がある。&br()自主練に対する意識がかなり高く、空き時間で相手を捕まえてヘリアタックやバイクエントリーの練習をする事がルーティン化しており、全体の意欲向上の一役を買っている。&br()本人は否定しているが後輩の面倒見が良く、戦闘における基礎等を後輩に教えている事も多い。&br()同期の[[夜若木　颯]]とバディを組む事が多い。よわき＆つよきの人格に寄り添い分け隔てなく接している。男子高校生のような言動で巫山戯合う事もしばしば。&br()一部の上司に対してメンヘラが発動する事があるが、本人は至って真面目なつもり。&br()2025年7月8日 会議の最後に皇帝から警察SWAT共にランク4への昇格が発表された。|
|本署|本署 副官|[[夜若木　颯]]&br()[[つよき　そう>夜若木　颯/つよき　そう]]|よわき　そう|4|[[第2世代>ロスサントス警察#第2世代]]&br()チームPons&br()&link_anchor(police_kaiju,page=犬　ルリ){怪獣部隊}：怪獣4号|○|'24/03/23|第2世代の一人。官僚一家の息子だが、日本の警察試験に落ちて追われるようにロスサントスへ。&br()普段は謙虚でおとなしい性格だが、ダウンをすると正反対の別人格「つよき　そう」が現れる。&br()互いのことは認知できており、必要なときは自ら人格を入れ替わる場合もある。&br()同期の[[立花　乱歩]]とバディを組む事が多く、男子高校生のような遣り取りが絶えない。&br()車の知識と運転技術は全署員中トップ。レーサー名は「SAW」。&br()街一番のレーサー[[アドミゲス・ハン]]と並び称されるほどチェイスが強く、小型犯罪に駆けつけた際は犯罪者からつよき禁止の声が上がることもしばしば。&br()よわきは筋力の制御に難があり、大型犯罪もピストルで対応しているが、命中率は極めて高い。別名「ハンドガンの悪魔」。&br()2025年7月10日 皇帝より「後輩が気まずいから」という理由で警察・SWATともにランク4へ飛び級昇格。&br()「&bold(){おはようございます。夜若木、一応います}」|
|本署||[[大喜久　なる男]]|おおきく　なるお|2| |○|'22/09/04|田舎者な口調の優しい警官。キャシーやミチコと仲がいい。&br()'24/03/01に約1年ぶりに目覚めた。|
|本署||[[ミナミ　とと]]|みなみ　とと|2| |○|'23/09/03|その見た目はまさにヤンキー。中身は優しい関西弁を話す好青年。[[ひの　らん]]と同期。&br()撃ち合いが強く厳しい場面を何度も覆すことも。チェイスセンスがずば抜けている。&br()「&bold(){こら～！待たんかい～！}」|
|本署||[[みやの　めい]]|みやの　めい|2|[[第2世代>ロスサントス警察#第2世代]]&br()モテモテクラブ |○|'24/04/17|第2世代の一人。夢を探しにロスサントスにきた大学生。いろんなことに挑戦したいと思い警察になった。|
|本署||[[ルール　ちゃん]]|るーる　ちゃん|2&br()&small(){SWAT}1|[[生命の世代>ロスサントス警察#生命の世代]]|○|'24/07/12| 街を案内した[[ラピス　りお]]、中華料理屋【明味房】店長でもある[[ミン　ドリー]]に憧れ、警察を志願した。&br()純真かつ真面目で同期想い。憧れの[[ラピス先輩>ラピス　りお]]と同じ南署に所属した。(2024/07/20～2025/3/27)&br()しかし、市民交流を目的に警察官になったが、白・黒市民の在り方に疑問を持ってしまったのと、警察ファーストの考え方に寄ってしまったため、本署に異動する。&br()最近では出勤タイミングで早番組が起こした事件の容疑者に知らぬ間にされていることが増えておりちょっと不憫なところもある。その際よく斧を握りしめている。|
|本署||[[遠隔寺　電波]]|えんかくじ　でんぱ|1|[[黄金世代>ロスサントス警察#黄金世代]]&br()チル課 隊長|○|'23/08/13|黄金世代の一人。気まぐれに起きては、よくダウンする天然ボケ署員。関係の無いところで事故を起こしてダウンしまくる通称“ダウンの電波”。&br()あだ名は「でんぱい」「でんP」。彼も一応世代的には黄金世代にあたる。「黄金世代の足手まといです。」&br()「&bold(){遠隔寺電波、トランスオン！}」|
|本署||[[えび　男>海老　男]]|えび　おとこ|1&br()&small(){SWAT}2|[[キセキの世代>ロスサントス警察#キセキの世代]]|○|'23/08/18|キセキの世代の一人、顔がクッキーのお面署員。&br()底抜けに明るい性格で元気いっぱい。&br()ヘリの運転が上手い一方、車の方はいまいち。|
|本署||[[成瀬　力二]]|なるせ　りきじ|1&br()&small(){SWAT}5|口プ課&br()署長課|○|'23/09/08|なんでも器用にこなすオールラウンダー。ヘリの操縦は島内トップクラスの運転技術で、殺意マシマシなヘリアタックが得意な空飛ぶペンギン。こわい。&br()基本的に全てに寛容だが、許せないときは徹底的に容赦しないのも彼の持ち味。&br()市民犯罪者問わず信頼が厚く、場合によっては融通が効く一面もある。[[姉>成瀬　夕コ]]がいる。&br()対応力が高く実績からも&openclose2(show=昇級可能){(本署&北署ランク5)}だが、責任を背負いたくないとしてランク1のままを強く要求している。&br()故にランクを上げたら辞めると豪語しているが、[[キモセン>キーモット　ホームズ]]のランクと北署長の座を犠牲にするという取り引きで、少しの間だけランクが6へと上がった事はある。|
|本署||[[狼恋　エギ]]|ろうれん　えぎ|1|口プ課&br()署長課&br()モテモテクラブ |○|'23/09/11|撃ち合い◎ヘリ×車×。非常に口が回り、イタズラ好きのどこか憎めないクソガキ気質を持つ。&br()成瀬と非常に相性が良く、2人の口プには敵うものはいない。&br()先輩であるはずの[[まるん>花沢　まるん]]をタメのようによくイジっている。パッド筋を鍛えたことでヘリ技術は覚醒した模様。|
|本署||[[デカ井　うるは]]|でかい　うるは|1| |－|'23/09/27|双子の姉。デカ美。ヘリの運転が得意。|
|本署||[[デカ井　うるか]]|でかい　うるか|1| |－|'23/09/27|双子の弟。銃撃もヘリ操縦もできる万能型。|
|本署||[[万十　セント]]|まんと　せんと|1| |－|'23/10/08|体験の時は毎日のように体験申し込みをしに署に訪れてくれていた真面目気質。&br()警察になろうとしたのは前世で人間にご飯をもらったから恩返しをしたいと思ったから、とのこと。|
|本署||[[難波　ハル]]|なんば　はる|1|[[ゴリラ世代>ロスサントス警察#ゴリラ世代]]|－|'23/11/22|ゴリラ世代の一人。撃ち合いとチェイスが得意な、研究好きの関西人。&br()基本オールラウンダーだが、本人曰く器用貧乏らしい。|
|本署||[[銀河一　アニキ]]|ぎんがいち　あにき|1&br()&small(){SWAT}2| |○|'23/12/29|圧倒的兄貴肌で、先輩後輩関係なくフランクに接する。誰に対しても積極的に話しかけるコミュ強であり、また非常に豪快なゲラ。&br()コメットの運転を極めたがっており、同じくコメットを操る先輩を慕う。&br()一本筋を通すその漢らしさには犯罪者からの評価も高い。「&bold(){俺はァ！銀河一アニキィ！！}」|
|本署||[[ボケモン　マスター]]|ぼけもん　ますたー|1||○|'24/01/05|[[キャップ>ましゃかり　トラボルタ]]が２日間見ていた事から特殊刑事課候補と言われていた。&br()犯罪者を"ボケモン"、単位を"匹"と呼ぶせいか犯罪者から反感を買うことが多いものの、上官・先輩たちからは「このままで良い」と太鼓判を押されている。|
|本署||[[ベルモン・D・帝一]]|べるもん　でぃー　ていいち|1||○|'24/03/12|デカいことをしにロスサントスにきた男性。地元にいい職がなかったので一発当てて金を稼ぐのが目的。&br()いい声をしている。体験中にヘリ免許を取っており、大型の際は率先してヘリを操縦する程モチベが高い。|
|本署||[[柚麦　とと]]|ゆずむぎ　とと|1|[[第2世代>ロスサントス警察#第2世代]]|○|'24/03/22|第2世代の一人。ダウナー系警官で超マイペースを貫く。&br()[[川　中]]とは同日入隊の同期。|
|本署||[[御庭野　えんちょう]]|おにわの　えんちょう|1|[[第2世代>ロスサントス警察#第2世代]]&br()闇メカ捜査本部|○|'24/04/23|第2世代の一人。初めて警察に従事するその日に無言で銃撃に合い、ダウンするという数奇な運命をたどる。（未解決）&br()闇メカニック調査をしたいと、キャップに志願する。|
|本署||[[不死身乃　ハヤト]]|ふじみの　はやと|1||○|'24/05/25|体験1日目に[[竹森>TANKTOP　竹森]]に誘拐され燃やされ、合格し初出勤の日に旅行から帰ってきた[[つぼ浦>つぼ浦　匠]]に市民から&s(){奪った}借りたミキサー車で轢かれたり濃い経験をした。|
|本署||[[五十嵐　ボブ]]|いがらし　ぼぶ|0&br()&small(){SWAT}1|[[F4>ロスサントス警察#F4]]&br()[[生命の世代>ロスサントス警察#生命の世代]]&br()モテモテクラブ&br()&link_anchor(police_kaiju,page=犬　ルリ){怪獣部隊}：怪獣5号|○|'24/06/11|[[五十嵐　えいむ]]の兄であり、弟を中心とした犯罪者を取り締まる為に警察になった&br()正式採用されているが、本人が上げなくて良いと言っているため警察ランク0のままになっている|
|本署||[[羽芝　ユン]]|はしば　ゆん|1|[[生命の世代>ロスサントス警察#生命の世代]]|○|'24/06/28|シカさん(トナカイ)を探しにきた癒し系のサンタさん。|
|本署||[[鬼瓦　るる]]|おにがわら　るる|1|[[生命の世代>ロスサントス警察#生命の世代]]&br()&link_anchor(police_kaiju,page=犬　ルリ){怪獣部隊}：怪獣1号|○|'24/07/13| [[犬　ルリ]]に見出され、怪獣1号として活動開始。|
|本署||[[ミカド　ルアシェイア]]|みかど?るあしぇいあ|1|[[襲撃の世代>ロスサントス警察#襲撃の世代]]|○|'24/10/11|元勇者。逮捕や新しい経験をするとレベルが上がる。前の世界ではLv999がカンストだったが、この世界のカンストは今の所分かっていない。&br()波の揺らぎで酔ってしまう為、船は控えている(ヘリや海辺の長時間ダウンも少々危うい)。ミニマップ無しで大型までの道を覚えたい、と日々チャレンジする努力家。&br()[[サンサンクレープ]]で働いているため、先輩の[[日之　ぱちお]]・同期の[[メチャ南　よる]]とは気が知れた仲。ボイラに｢勇者呼びはイタい｣と度々弄られている。&br()｢&bold(){勇者復活しました、おはようございます}｣|
|本署|本署 副官|[[メチャ南　よる]]|めちゃみなみ　よる|1&br()&small(){SWAT}2|[[襲撃の世代>ロスサントス警察#襲撃の世代]]|○|'24/11/12|南の島からロスサントスに流れ着いた。&br()声が[[千代田　ヨウ]]に似ていると評される。&br()主に救急隊から「ベリーサザンナイト」と呼ばれていて、3時以降ワンオペのヘリ訓練時は救急隊無線に入っていることが多い|
|本署||[[紀伊路　つみき]]|きいろ　つみき|1|[[襲撃の世代>ロスサントス警察#襲撃の世代]]|○|'24/11/13|前の街ではヘリのパイロットをしていた。&br()襲撃が発生しても警察体験を続行した覚悟の持ち主。|
