#region(開く)

***6月1日～3日
#region(開く)
****6月1日（土）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|ユニオンヘイスト|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取りALLIN：CPU/みこだ/ノエル。2名逮捕×}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){だよ/陣平/じょば/銭形/カイキ/にーと}|15人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/キーモット/れう/オルカ/ボイラ/なずぴ/ぺいん/ひのらん/さぶ郎/ぱちお/レッサン/えびす/乱歩/よわき/なえ}|6人|00：28|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#6495ed):GoodByeCircus|1|ボブキャット|×|７人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レン/らみ/サトシ/ネケ/ダミアン/えだまめもん/こはる}|5人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/なえ/乱歩/さぶ郎/皇帝}|７人|00：44|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#C7B2D6):IRiS|1|飛行場|×|3人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ジョーカーシュガーピーチ/レレレ}|6人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ひのらん/猫マンゴー/ぺいん/乱歩/えびす/さぶ郎}|3人|20：52|
|~|2|客船|◎|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ジョーカー/オザワ/シュガーピーチ/レレレ/ライアン/タコマツ/イネヌコ/ロック}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){つよき/ひのらん/えびす/乱歩/なえ/他確認中}|6人|23：40|
|~|3|アーティファクト|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ジョーカー/オザワ/シュガーピーチ/レレレ/ぬくお/KT/タコマツ/イネヌコ/ロック}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){大型被りで殆ど対応なし}|0人|01：59|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|オイルリグ|◎|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){エス/ヘル/天草/CPU/えいむ/トナカイ/月ノ島/まいにい/ノエル/ネマ}|7人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ぺいん/ひのらん/猫マンゴー/鷹山/えびす/乱歩/夏苗}|0人|21：05|
|~|2|カジノヘイスト|◎|13人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/アボ/エス/ヘル/ナリエル/天草/CPU/えいむ/トナカイ/月ノ島/ノエル/ネマ/みこだ}|13人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){キーモット/ボイラ/皇帝/ぺいん/ひのらん/鷹山/さぶ郎/ぱちお/えびす/レッサン/よわき/なえ/乱歩}|1人|23：30|
|~|3|客船|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){一部歪み補填}|12人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){RB/白井/エス/ヘル/CPU/えいむ/トナカイ/月ノ島/四五六確/まいにい/ノエル/みこだ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){キーモット/皇帝/ぺいん/オルカ/ぱちお/なずぴ/えびす/レッサン/つよき/乱歩}|1人|01：53|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|オイルリグ|◎|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){まる/けっつん/チンピラ/街雄/レオ/ちの/セイジ/ナツメ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){さぶ郎/乱歩/レッサン/ボイラ/オルカ/キーモット/他確認中}|0人|00：13|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|客船|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){札束全回収/アーティファクト6/10}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/刃弐/トピオ/紫水/傭兵：ジョシュア}|6人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){猫マンゴー/ひのらん/さぶ郎/乱歩/鷹山/赤城}|0人|20：27|
|~|2|ボブキャット|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){一部利確}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/刃弐/ケイン/トピオ/紫水/傭兵：ジョシュア}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){猫マンゴー/さぶ郎/鷹山/他確認中}|6人|21：21|
|~|3|アーティファクト|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){5/6利確}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/刃弐/芹沢/ケイン/トピオ/紫水/傭兵：ジョシュア/JD}|12人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){鷹山/えびす/乱歩/ボイラ/よわき/ひのらん/レッサン/キーモット/ぱちお}|4人|23：09|
|~|4|飛行場|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){1名自主}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/刃弐/芹沢/ケイン/トピオ/紫水/傭兵：ジョシュア/JD}|13人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){よわき/ボイラ/ぺいん/ぱちお/なえ/皇帝/さぶ郎/乱歩/鷹山/えびす/レッサン/ひのらん/キーモット}|5人|00：00|

****6月5日（水）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#6495ed):GoodByeCircus|1|ボブキャット|◎|８人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ネケ/らみ/サトシ/レン/ヨウコウ/ひろし/ダミアン/えだまめもん}|0人|0人|00：05|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|客船|×|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){華憐/ニャンコ/くまちゃん/ゴン/魔王/すん}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/ぺいん/さぶ郎/まるん/ボイラ/レッサン/赤城/二部らるたる}|5人|23：26|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|オイルリグ|◎|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){まる/けっつん/SAY/えんじ/チンピラ/街雄/たけーら/フナ/レオ/セイジ/ナツメ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){現着せずor間に合わず}|0人|23：45|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#3F9877):麻陀羅組|1|パレト銀行|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){一部取り忘れ}|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){タラちゃん/スギル/ぞん美子/JD/ハン/ロック/イネヌコ/ぺお/メラ}|5人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ぺいん/まるん/さぶ郎/レッサン/二部}|1人|01：43|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|飛行場|◎|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/刃弐/ミックス/芹沢/ケイン/トピオ/紫水/傭兵：ジョシュア}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/赤城/ヤミー/まるん/ぺいん/レッサン/さぶ郎/ボイラ/二部らるたる}|1人|00：00|

****6月6日（木）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|ボブキャット|◎|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){キミトス/だよ/ボア/じょば/銭形/カイキ}|0人|0人|21：20|
|~|2|ボブキャット|×|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ヴァン/ナタル/だよ/じょば}|12人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/れう/キーモット/ボイラ/みれい/まるん/ぺいん/さぶ郎/セリーヌ/えびす/つよき/二部}|4人|00：45|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|オイルリグ|◎|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ニャンコ/華月/わきを/まいみー/ぜろ/ゴン/博士/政宗}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/ひのらん/つよき/レッサン/さぶ郎/ボイラ/夏苗/れう/二部}|6人|22：00|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#C7B2D6):IRiS|1|アーティファクト|×|1人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){オザワ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ぺいん/キーモット/さぶ郎/他確認中}|1人|01：40|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|飛行場|×|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ヘル/天草/ノエル/まいにい/ネマ/トナカイ}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){猫マンゴー/ボイラ/皇帝/ひのらん/つよき/夏苗/さぶ郎/レッサン/二部}|5人|21：37|
|~|2|飛行場|◎|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){RB/ヘル/えいむ/月ノ島/ノエル/アボ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/つよき/ボイラ/他確認中}|0人|00：33|
|~|3|オイルリグ|◎|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){RB/アボ/エス/ヘル/えいむ/月ノ島/ノエル}|11人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){キーモット/ぺいん/まるん/猫マンゴー/ひのらん/さぶ郎/セリーヌ/えびす/レッサン/よわき/二部}|4人|01：13|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|アーティファクト|○|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){チンピラ/レオ/ちの/ナツメ/シャンクズ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){まるん/ボイラ/他確認中}|2人|23：15|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|客船|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){4/5回収}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ミックス/ケイン/トピオ/紫水/傭兵：JD}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ひのらん/よわき/猫マンゴー/さぶ郎/皇帝/れう/レッサン/夏苗/二部}|3人|21：20|
|~|2|客船|◎|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ミックス/芹沢/ケイン/トピオ/紫水}|1人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝}|0人|00：26|

****6月7日（金）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|ボブキャット|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){BM1/2回収、テルミット回収}|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){キミトス/ナタル/イチカ/カイキ}|5人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){赤城/ミンドリー/皇帝/ひのらん/レッサン}|?人|19：04|
|~|2|客船|×|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){キミトス/だよ/イチカ/ボア/科場/銭形/竹森/カイキ/にーと}|14人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/れう/鷹山/ぺいん/まるん/なずぴ/さぶ郎/竹井/レッサン/えびす/るんるん/乱歩/えんちょう/ボブ}|5人|22：26|
|~|3|ユニオンヘイスト|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取り餡：那須/ハンク/わきを}|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ヴァンダーマー/キミトス/だよ/ボア/イチカ/科場/銭形/竹森/にーと/ハン/なの}|13人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){れう/鷹山/まるん/ぺいん/竹井/レッサン/えびす/霊明/るんるん/乱歩/えんちょう/ヒロヤマモト/ボブ}|3人|00：02|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#6495ed):GoodByeCircus|1|ボブキャット|◎|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ネケ/らみ/サトシ/レン/ズズ/ひろし/ダミアン/えだまめもん/こはる/アキヲ}|?人|7人|01：53|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|客船|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){エス/ヘル/ナリエル/天草/トナカイ/月ノ島/まいにい/ネマ/みこだ}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){赤城/皇帝/ミンドリー/まるん/ひのらん/れう/レッサン/夏苗/ボブ}|4人|19：??|
