#region(開く)

***5月1日～6日
#region(開く)
****5月1日（水）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|ボブキャット|×|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){じょば/ボア/銭形/ボア/カイキ}|5人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){れむ/なずぴ/みこだ/竹井/つよき}|?人|??：??|
|~|2|客船|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取りGBC：全滅}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){銭形/陣平/なの/だよ/ボア/ナタル/じょば/イチカ}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){れう/ミンドリー/ぺいん/ミナミ/乱歩/なずぴ/みこだ/ネル}|3人|??：??|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#6495ed):GoodByeCircus|1|客船|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){餡合同。横取りIRiS：ジョーカー/ハイライト/オザワ。撤退判断。横取りNL：餡相手だったため撤収}|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){那須/ニャンコ/ゴン/ネケニマス/らみ/こはる/サトシ}|5人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/れむ/つよき/れう/さぶ郎}|?人|20：55|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|客船|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){GBC合同。横取りIRiS：ジョーカー/ハイライト/オザワ。撤退判断。横取りNL：餡相手だったため撤収}|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){那須/ニャンコ/ゴン/ネケニマス/らみ/こはる/サトシ}|5人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/れむ/つよき/れう/さぶ郎}|?人|20：55|
|~|2|飛行場|◎|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/ハンク/ニャンコ/ジェイク/華憐/華月/那須/博士/ゴン/ぜろ/すん}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){さぶ郎/竹井/なずぴ/ミナミ/乱歩/まるん/他確認中}|9人|23：45|
|~|3|ユニオンヘイスト|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取りALLIN：エス/椎花/四五六確}|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/ハンク/ニャンコ/ジェイク/華憐/華月/那須/博士/ゴン/ぜろ/すん}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){さぶ郎/竹井/ミンドリー/皇帝/みこだ/なずぴ/他確認中}|4人|??：??|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#C7B2D6):IRiS|1|アーティファクト|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){3/6}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ジョーカー/ハイライト/つん/オザワ/パティ/イヴ}|1人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){みこだ}|0人|23：57|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|飛行場|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){歪み補填}|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/エス/ヘル/天草/えいむ/トナカイ/月ノ島/四五六確/傭兵：タマーチ}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){れむ/みこだ/竹井/ミンドリー/なずぴ/ぺいん/ミナミ/よわき}|?人|20：52|
|~|2|パシフィック銀行|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取り餡：ニャンコ/那須/華月。全滅}|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/千代田/エス/ヘル/椎花/天草/えいむ/トナカイ/月ノ島/四五六確/傭兵：タマーチ}|13人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ネル/れむ/ミンドリー/ぺいん/まるん/ミナミ/みこだ/さぶ郎/セリーヌ/なずぴ/竹井/れう/乱歩}|10人|22：15|
|~|3|オイルリグ|◎|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/千代田/エス/ヘル/椎花/天草/えいむ/トナカイ/月ノ島/四五六確/傭兵：タマーチ}|0人|0人|23：58|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|客船|○|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){SAY/レオ/セイジ/シャンクズ}|7人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){レッサン/さぶ郎/ぺいん/佐々木/乱歩/ミンドリー/まるん}|?人|??：??|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|オイルリグ|◎|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/ケイン/トピオ/傭兵：ろっぷ}|6人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/みこだ/乱歩/れむ/さぶ郎/なずぴ} |2人|21：01|
|~|2|ボブキャット|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){歪みのため耐えの後補填対応/横取りCC：イネヌコ}|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/ケイン/芹沢/トピオ}|1人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ネル} |0人|23：5?|
|~|3|パレト銀行|◎|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/ケイン/芹沢/トピオ}|0人|0人|00：30|

****5月5日（日）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|オイルリグ|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){竹森/だよ/ナタル/イチカ/陣平/なの/じょば/銭形/カイキ}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/ナカバ/ぺいん/ひのらん/さぶ郎/レッサン/えんちょう/ありもと}|2人|22：40|
|~|2|ボブキャット|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取りCC：ナツメ/イネヌコ/タコマツ。2名逮捕}|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){竹森/だよ/ナタル/イチカ/陣平/なの/じょば/銭形/カイキ}|11人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/皇帝/ナカバ/まるん/なずぴ/ひのらん/ぺいん/さぶ郎/竹井/えんちょう/ありもと}|6人|00：30|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|ユニオンヘイスト|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/那須/ニャンコ/華月/くまちゃん/わきを/そす/ゴン/すん}|11人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/竹井/皇帝/まるん/ぺいん/ひのらん/レッサン/ミンドリー/えんちょう/さぶ郎/ありもと}|1人|23：14|
|~|2|客船|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/那須/ニャンコ/華月/くまちゃん/わきを/ゴン/すん/れりあ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/竹井/ぺいん/レッサン/ナカバ/他確認中}|0人|00：12|
|~|3|アーティファクト|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){NL合同}|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){那須/ニャンコ/くまちゃん/わきを/ゴン/すん/れりあ/SAY/レオ/セイジ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/竹井/ぺいん/レッサン/まるん/ミンドリー/皇帝/ありもと/ひのらん}|7人|01：51|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#C7B2D6):IRiS|1|客船|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){札束1/5、アーティファクト2/10}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){アドミゲス/ハイライト/オザワ/シュガーピーチ/イヴ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){確認中}|?人|20：57|
|~|2|アーティファクト|◎|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){アドミゲス/ハイライト/オザワ/シュガーピーチ/イヴ/生雲丹}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){レッサン/えんちょう/まるん/他確認中}|3人|23：01|
|~|3|飛行場|◎|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){アドミゲス/ハイライト/つん/オザワ/シュガーピーチ/イヴ/生雲丹/パティ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/ひのらん/竹井/ぺいん/他確認中}|4人|01：13|
|~|4|ユニオンヘイスト|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){回収者爆発のため全員撤退}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){アドミゲス/ハイライト/つん/オザワ/シュガーピーチ/イヴ/生雲丹/パティ}|0人|0人|02：25|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|ボブキャット|◎|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/エス/トナカイ/月ノ島/傭兵：タマーチ}|0人|0人|21：02|
|~|2|飛行場|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取りNL：シャンクズ/チンピラ/レオ。逮捕2人}|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/エス/天草/トナカイ/月ノ島/四五六確/傭兵：タマーチ}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ナカバ/ミンドリー/ぺいん/まるん/ひのらん/さぶ郎/レッサン/えんちょう}|2人|22：24|
|~|3|カジノヘイスト|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取りMOZU：だよ/ナタル/銭形。横取りIRiS：アドミゲス/オザワ/つん}|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/千代田/エス/ヘル/椎花/天草/トナカイ/月ノ島/四五六確/傭兵：タマーチ}|13人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ネル/ナカバ/皇帝/ミンドリー/ぺいん/まるん/ひのらん/さぶ郎/なずぴ/竹井/レッサン/えんちょう/ありもと}|0人|23：46|
|~|4|オイルリグ|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/千代田/エス/ヘル/天草/トナカイ/月ノ島/四五六確/傭兵：タマーチ}|11人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/ミンドリー/ぺいん/まるん/ひのらん/さぶ郎/なずぴ/竹井/レッサン/えんちょう/ありもと}|0人|01：40|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|アーティファクト|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){餡合同}|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){那須/ニャンコ/くまちゃん/わきを/ゴン/すん/れりあ/SAY/レオ/セイジ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/竹井/ぺいん/レッサン/まるん/ミンドリー/皇帝/ありもと/ひのらん}|7人|01：51|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|パレト銀行|◎|2人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){芹沢/ケイン}|2人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/さぶ郎} |0人|23：31|

****5月6日（月）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|>|>|>|>|>|>|>|COLOR(gray):BGCOLOR(#EEE):定休日|
#endregion

***5月7日～13日
#region(開く)
****5月7日（火）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|アーティファクト|×|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){キミトス/カイン/だよ/パテ/銭形/竹森/カイキ}|13人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){みこだ/らだお/れむ/ナカバ/まるん/ぺいん/ひのらん/竹井/ローズ/レッサン/川中/乱歩/つよき}|7人|19：57|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#6495ed):GoodByeCircus|1|客船|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){餡ブレラ合同}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){【餡】ニャンコ/わきを/政宗【GBC】こはる/ネケ/ダミアン}|4人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){らだお/みこだ/レッサン/つよき}|3人|18：46|
|~|2|オイルリグ|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){一部回収}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ネケニマス/帝レン/えだまめもん/ひろし/ダミアン/こはる}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ひのらん/霊明/さぶ郎/ぺいん/ありけん/レッサン/猫マンゴー/ミンドリー}|4人|??：??|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|客船|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){GBC合同}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){【餡】ニャンコ/わきを/政宗【GBC】こはる/ネケ/ダミアン}|4人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){らだお/みこだ/レッサン/つよき}|3人|18：46|
|~|2|オイルリグ|×|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ニャンコ/ハンク/わきを/そす/政宗}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){れむ/らだお/ひのらん/みこだ/ローズ/竹井/よわき/レッサン/川中}|3人|19：46|
|~|3|ユニオンヘイスト|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){攻守交代制のハンドガン5vs5(+サーマル)}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/わきを/そす/ゴン/那須}|5人+2人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){つよき/竹井/霊明/ぱちお/ローズ(+サーマル：レッサン/見守り役：ミンドリー)}|0人|??：??|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#C7B2D6):IRiS|1|飛行場|△ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){札束見えず時間耐え、金持ち想定人物逃走成功}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){アドミゲス/ハイライト/オザワ/イヴ/生雲丹}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){まるん/他確認中} |0人|20：25|
|~|2|アーティファクト|◎|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){イヴ/生雲丹/ジョーカー/アドミゲス/ハイライト/オザワ/カミヤ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){みこだ/なずぴ/まるん/ありけん/他確認中}|6人|02：11|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|ボブキャット|◎|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){エスターク/天草/トナカイ/月ノ島/傭兵：タマーチ}|7人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){れむ/赤城/みこだ/ローズ/レッサン/よわき/めい}|5人|18：16|
|~|2|飛行場|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){回収者歪みでワープして撃たれてダウン、回収者は罰金なし}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){エスターク/天草/トナカイ/月ノ島/傭兵：タマーチ}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){れむ/赤城/らだお/みこだ/ローズ/レッサン/つよき/めい}|5人|19：11|
|~|3|カジノヘイスト|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){3.9億分回収。横取り餡：ウェスカー/わきを/ゴン。×}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){千代田/エスターク/ヘル/天草/CPU/トナカイ/月ノ島/傭兵：タマーチ}|15人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/ミンドリー/らだお/まるん/猫マンゴー/ひのらん/なずぴ/ぱちお/竹井/ローズ/レッサン/川中/よわき/めい/ありけん}|5人|21：29|
|~|4|アーティファクト|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){金持ちダウン2個回収}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){千代田/エスターク/ヘル/天草/CPU/トナカイ/月ノ島/傭兵：タマーチ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/ぺいん/鷹山/ぱちお/霊明/レッサン/ラピス/川中/つよき/ありけん}|2人|22：54|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|客船|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){警察が逃走者追いかけで客船から離脱後、えんじが取り残されていたダウン者回収、残り札束回収中に応援警察によりダウン、逮捕}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){シャンクズ/SAY/えんじ/チンピラ/たけーら/ちの/セイジ/街雄}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ぺいん/つよき/皇帝/猫マンゴー/川中/赤城/ありけん/ローズ/鷹山}|4人|21：49|
|~|2|オイルリグ|◎|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){シャンクズ/SAY/えんじ/チンピラ/たけーら/セイジ/街雄/ちの/レオ/けっつん/まる}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){猫マンゴー/まるん/ひのらん/ラピス/みこだ/皇帝/ローズ/竹井}|0人|22：51|
|~|3|客船|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){CC合同。札束1つ歪み対応}|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){【NL】シャンクズ/けっつん/街雄/ちの/チンピラ/セイジ/SAY/レオ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ぺいん/皇帝/レッサン/さぶ郎/ひのらん/ミンドリー/まるん/ありけん/霊明}|2人|01：25|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FFC800):concellge|1|客船|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){NL合同。札束1つ歪み対応}|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){【NL】シャンクズ/けっつん/街雄/ちの/チンピラ/セイジ/SAY/レオ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ぺいん/皇帝/レッサン/さぶ郎/ひのらん/ミンドリー/まるん/ありけん/霊明}|2人|01：25|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|飛行場|×|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/ミックス/ケイン/トピオ}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){みこだ/鷹山/赤城/ありもと/川中/さぶ郎/ぺいん/皇帝} |3人|22：31|
|~|2|ボブキャット|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){MOZU横取り：キミトス/ナタル/諸朋。周辺待機していたが開始、終了に気付かず}|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/ミックス/ケイン/トピオ}|0人 |0人|23：01|
|~|3|パレト銀行|◎|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/ミックス/ケイン/トピオ}|2人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){さぶ郎/ぺいん}|1人|02：??|

****5月8日（水）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|ボブキャット|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){膠着状態から最後殴り合いで決着}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){だよ/ナタル/銭形/ボア/イチカ}|6人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){竹井/みこだ/レッサン/ひのらん/ローズ/ナカバ}|4人|19：05|
|~|2|客船|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){横取りALLIN：天草/CPU/えいむ。全滅、逮捕2人。横取り餡：ウェスカー/政宗/ゴン。全滅、全逮捕・横取り同士でやり合いほぼ全滅}|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){カイン/イチカ/だよ/ナタル/なの/陣平/銭形/カイキ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ネル/皇帝/ひのらん/竹井/れう/ローズ/レッサン/川中/乱歩/ありけん}|4人|22：17|
|~|3|飛行場|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){歪みで2つ取れず。補填なし}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ナタル/だよ/イチカ/陣平/なの/銭形}|0人|0人|23：51|
|~|4|パレト銀行|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){逃走後身柄確保されるも証拠不十分にて犯人特定出来ず、銃刀法、道交法、公務執行妨害、無免許で切符対応}|1人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){陣平}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/れう/なずぴ/ぺいん/ひのらん/さぶ郎/乱歩/川中}|0人|01：56|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|ユニオンヘイスト|◎|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/政宗/わきを/ハンク/そす/ゴン/ニャンコ}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/ひのらん/ネル/レッサン/ローズ/竹井/みこだ/よわき/さぶ郎}|6人|??：??|
